CURR_STD_YM,GRAD_STATUS,GRAD_MOVEMENT,CURR_GRAD_GB,CURR_NLINE_MEM_GRAD_CD,CURR_NLINE_MEM_GRAD_NM,PREV_GRAD_GB,PREV_NLINE_MEM_GRAD_CD,PREV_NLINE_MEM_GRAD_NM,CUST_CNT,MAU,DAU
202502,이탈,승급,일반,RD,Red,VIP,BK,Black,717,379,93
202502,이탈,승급,일반,RD,Red,VIP,GD,Gold,8,4,1
202502,이탈,승급,일반,RD,Red,VIP,SV,Silver,95,40,8
202502,이탈,승급,일반,RD,Red,일반,PP,Purple,11660,8177,2300
202502,이탈,하락,VIP,BK,Black,일반,PP,Purple,3654,2873,1115
202502,이탈,하락,VIP,BK,Black,일반,RD,Red,761,350,79
202502,이탈,하락,VIP,GD,Gold,VIP,BK,Black,40,31,9
202502,이탈,하락,VIP,GD,Gold,VIP,SV,Silver,681,495,232
202502,이탈,하락,VIP,GD,Gold,일반,PP,Purple,15,6,3
202502,이탈,하락,VIP,GD,Gold,일반,RD,Red,10,3,1
202502,이탈,하락,VIP,PT,Platinum,일반,RD,Red,4,1,1
202502,이탈,하락,VIP,SV,Silver,VIP,BK,Black,1660,1277,555
202502,이탈,하락,VIP,SV,Silver,일반,PP,Purple,176,123,38
202502,이탈,하락,VIP,SV,Silver,일반,RD,Red,87,37,12
202502,이탈,하락,일반,PP,Purple,일반,RD,Red,12056,7113,1923
202503,이탈,승급,VIP,BK,Black,VIP,GD,Gold,24,21,6
202503,이탈,승급,VIP,BK,Black,VIP,SV,Silver,1560,1256,569
202503,이탈,승급,VIP,SV,Silver,VIP,GD,Gold,616,448,202
202503,이탈,승급,일반,PP,Purple,VIP,BK,Black,3445,2764,1078
202503,이탈,승급,일반,PP,Purple,VIP,GD,Gold,5,5,2
202503,이탈,승급,일반,PP,Purple,VIP,SV,Silver,123,78,26
202503,이탈,승급,일반,RD,Red,VIP,BK,Black,683,348,73
202503,이탈,승급,일반,RD,Red,VIP,GD,Gold,6,5,2
202503,이탈,승급,일반,RD,Red,VIP,PT,Platinum,1,0,
202503,이탈,승급,일반,RD,Red,VIP,SV,Silver,99,59,8
202503,이탈,승급,일반,RD,Red,일반,PP,Purple,10869,7126,1918
202503,이탈,하락,VIP,BK,Black,일반,PP,Purple,3688,2794,1023
202503,이탈,하락,VIP,BK,Black,일반,RD,Red,793,303,65
202503,이탈,하락,VIP,GD,Gold,VIP,BK,Black,25,13,4
202503,이탈,하락,VIP,GD,Gold,VIP,SV,Silver,651,458,208
202503,이탈,하락,VIP,GD,Gold,일반,PP,Purple,4,2,1
202503,이탈,하락,VIP,GD,Gold,일반,RD,Red,9,5,1
202503,이탈,하락,VIP,PT,Platinum,일반,RD,Red,2,2,1
202503,이탈,하락,VIP,SV,Silver,VIP,BK,Black,1692,1256,518
202503,이탈,하락,VIP,SV,Silver,일반,PP,Purple,166,84,23
202503,이탈,하락,VIP,SV,Silver,일반,RD,Red,84,35,6
202503,이탈,하락,일반,PP,Purple,일반,RD,Red,12477,6953,1782
202504,이탈,승급,VIP,BK,Black,VIP,GD,Gold,27,14,5
202504,이탈,승급,VIP,BK,Black,VIP,SV,Silver,1678,1292,589
202504,이탈,승급,VIP,SV,Silver,VIP,GD,Gold,590,442,221
202504,이탈,승급,일반,PP,Purple,VIP,BK,Black,3689,2908,1137
202504,이탈,승급,일반,PP,Purple,VIP,GD,Gold,8,5,2
202504,이탈,승급,일반,PP,Purple,VIP,SV,Silver,115,77,24
202504,이탈,승급,일반,RD,Red,VIP,BK,Black,643,254,54
202504,이탈,승급,일반,RD,Red,VIP,GD,Gold,8,2,1
202504,이탈,승급,일반,RD,Red,VIP,SV,Silver,65,27,5
202504,이탈,승급,일반,RD,Red,일반,PP,Purple,11494,7015,1968
202504,이탈,하락,VIP,BK,Black,일반,PP,Purple,4212,3099,1124
202504,이탈,하락,VIP,BK,Black,일반,RD,Red,1017,346,76
202504,이탈,하락,VIP,GD,Gold,VIP,BK,Black,26,11,3
202504,이탈,하락,VIP,GD,Gold,VIP,SV,Silver,756,526,229
202504,이탈,하락,VIP,GD,Gold,일반,PP,Purple,2,1,1
